Object Type	PID	Title	Path	Label	Depth	Deleted	Date Added	Date Updated	MIME Type	Checksum	File Size (bytes)	Number of Children
File	uuid:1e955045-8b10-4411-8333-717d70255110	Sanctum	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Sanctum"	2000_D'Amato_p0004.tif	5	FALSE	8/20/14 9:58	8/20/14 10:00	image/tiff	1d8d386d87ebb1cf414ad9d8bfba4948	102555608	
File	uuid:262a1ea2-d28d-4af9-9257-d72d0559c9c1	"""Hierophny"""	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Hierophny"""	2000_D'Amato_s0001.tif	5	FALSE	8/20/14 9:59	8/20/14 10:00	image/tiff	98daea025aaf3b2ae0064ae24f36e24d	30578190	
File	uuid:ad4182c8-7c25-4228-b95a-38856596dc5b	"""Descent"""	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Descent"""	2000_D'Amato_s0002.tif	5	FALSE	8/20/14 9:59	8/20/14 10:00	image/tiff	8583ec375f8dded15f603970898fa87a	30282430	
File	uuid:68eb539d-699e-4ef4-8fe3-35caabc91cee	"""Periphery"""	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Periphery"""	2000_D'Amato_s0003.tif	5	FALSE	8/20/14 10:00	8/20/14 10:01	image/tiff	314ca0e6b676e3f946067260f9b1db20	30254650	
File	uuid:900f6429-2637-41a0-b078-d3d34c8b223c	"""Departure"""	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Departure"""	2000_D'Amato_s0004.tif	5	FALSE	8/20/14 10:00	8/20/14 10:01	image/tiff	112d008cb5add81c48be9363b0126951	30842318	
File	uuid:92030cbc-13e3-448e-9f8c-b1104667a2bc	"""Inception"""	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Inception"""	2000_D'Amato_s0005.tif	5	FALSE	8/20/14 10:00	8/20/14 10:01	image/tiff	f23f5c0b08299686ab994ce49004644c	31327210	
File	uuid:bf743cf4-3ad3-4a5b-9137-a2d8d1f4aeb8	"""Sanctum"""	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Sanctum"""	2000_D'Amato_s0006.tif	5	FALSE	8/20/14 10:00	8/20/14 10:01	image/tiff	3952929f1b612be8716617a824718ca0	30720498	
File	uuid:925a026c-408d-4b20-aba9-025146903241	Susan D'Amato (detail)	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Susan D'Amato (detail)"	2000_D'Amato_s0007.tif	5	FALSE	8/20/14 10:01	8/20/14 10:02	image/tiff	04cf6c8e7c324d1e25b652307e6c406a	30658528	
File	uuid:cd42461f-37e6-4618-8305-1402c6e0366b	Susan D'Amato (detail)	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Susan D'Amato (detail)"	2000_D'Amato_s0008.tif	5	FALSE	8/20/14 10:01	8/20/14 10:02	image/tiff	9cac7c2c3ee3dbb5606a881fe254547d	30291574	
File	uuid:33e3535c-5eb1-40e6-b5bd-63a6c34c56c5	"""Absorption"""	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Absorption"""	2000_D'Amato_s0009.tif	5	FALSE	8/20/14 10:01	8/20/14 10:02	image/tiff	2ecd9198b9a784fc8abe51dba3514017	30913280	
File	uuid:6c2b3203-5847-4ae9-bb55-dee1c27420ff	Susan D'Amato (detail)	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Susan D'Amato (detail)"	2000_D'Amato_s0010.tif	5	FALSE	8/20/14 10:02	8/20/14 10:03	image/tiff	44601a49d0639e9e9bcdd71fa73f02e8	30638540	
File	uuid:97d5e78e-e132-46e6-be49-75d3434444bd	"""Mom"""	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Mom"""	2000_D'Amato_s0011.tif	5	FALSE	8/20/14 10:02	8/20/14 10:03	image/tiff	8913c57f45fb98fc124cf83e1596af5e	30578190	
File	uuid:1a960266-12ff-42ba-8214-068fb6d54e85	"""Dad"""	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Dad"""	2000_D'Amato_s0012.tif	5	FALSE	8/20/14 10:02	8/20/14 10:03	image/tiff	e305284376cf0b41f78922c6ddeb2d1a	30578190	
File	uuid:aa72cb0c-32ea-471f-96a2-ca088ff4548c	Thesis Statement	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Thesis Statement"	2000_D'Amato.pdf	5	FALSE	8/20/14 10:02	8/20/14 10:03	application/pdf	2abddd62cbb603aa72e75673618ca177	5176881	
Aggregate	uuid:ceac24f9-b507-44c1-b783-9284c0932b96	Thesis Statement	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement"	2000_D'Amato	4	FALSE	8/20/14 9:54	8/20/14 9:54				23
File	uuid:5dd31793-d7df-4fe5-8dbc-3e0129cda1e8	1979_Rosenberg_0001.tif	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/1979_Rosenberg_0001.tif"	1979_Rosenberg_0001.tif	5	FALSE	8/18/14 20:17	8/21/14 3:33	image/tiff	800d4f330671e48ab3a57cb21ba5cb61	47389487	
File	uuid:450deb5b-6014-41ca-98eb-31c340d1e265	1979_Rosenberg_0002.tif	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/1979_Rosenberg_0002.tif"	1979_Rosenberg_0002.tif	5	FALSE	8/18/14 20:17	8/21/14 3:33	image/tiff	a773c284c3bffb7cf974c8952a6d2305	47081678	
File	uuid:256ae4a3-9db7-4ab5-8c71-9304e930a928	1979_Rosenberg_0003.tif	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/1979_Rosenberg_0003.tif"	1979_Rosenberg_0003.tif	5	FALSE	8/18/14 20:18	8/21/14 3:33	image/tiff	5aec2261e9d34c71e8c8c0100e23dcbe	47307872	
File	uuid:99ce7855-8cf1-4560-b0c1-c9ae75885092	slide sheet	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/slide sheet"	1979_Rosenberg_0004.tif	5	FALSE	8/18/14 20:18	8/21/14 3:34	image/tiff	c7f12a31d3968a85974a41296079e471	50929304	
File	uuid:95a56c3f-547d-46b4-81fc-722c81889e1c	Razamatazz	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Razamatazz"	1979_Rosenberg_s0001.tif	5	FALSE	8/18/14 20:18	8/21/14 3:34	image/tiff	07bbf6d35e53100f0afa14e82fab7c0f	30646752	
File	uuid:ff03abb4-ebd5-4c26-8cab-3481c271720d	Razamatazz	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Razamatazz"	1979_Rosenberg_s0002.tif	5	FALSE	8/18/14 20:18	8/21/14 3:34	image/tiff	51bb5497021f506e70fdd22622c70f31	30584216	
File	uuid:a119ca80-12da-4ea9-a255-ddf881675ffb	Untitled	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Untitled"	1979_Rosenberg_s0003.tif	5	FALSE	8/18/14 20:19	8/21/14 3:35	image/tiff	cfd8e91843fdee7c4dc5a03c8c6ce47b	30804968	
